"id","country","state","city","state_code","city_code","country_code"
"1","中国","北京","东城","11","1","1"
"2","中国","北京","西城","11","2","1"
"3","中国","北京","朝阳","11","5","1"
"4","中国","北京","丰台","11","6","1"
"5","中国","北京","石景山","11","7","1"
"6","中国","北京","海淀","11","8","1"
"7","中国","北京","门头沟","11","9","1"
"8","中国","北京","房山","11","11","1"
"9","中国","北京","通州","11","12","1"
"10","中国","北京","顺义","11","13","1"
"11","中国","北京","昌平","11","21","1"
"12","中国","北京","大兴","11","24","1"
"13","中国","北京","平谷","11","26","1"
"14","中国","北京","怀柔","11","27","1"
"15","中国","北京","密云","11","28","1"
"16","中国","北京","延庆","11","29","1"
"17","中国","天津","和平","12","1","1"
"18","中国","天津","河东","12","2","1"
"19","中国","天津","河西","12","3","1"
"20","中国","天津","南开","12","4","1"
"21","中国","天津","河北","12","5","1"
"22","中国","天津","红桥","12","6","1"
"23","中国","天津","滨海新区","12","26","1"
"24","中国","天津","东丽","12","10","1"
"25","中国","天津","西青","12","11","1"
"26","中国","天津","津南","12","12","1"
"27","中国","天津","北辰","12","13","1"
"28","中国","天津","宁河","12","21","1"
"29","中国","天津","武清","12","22","1"
"30","中国","天津","静海","12","23","1"
"31","中国","天津","宝坻","12","24","1"
"32","中国","天津","蓟县","12","25","1"
"33","中国","河北","石家庄","13","1","1"
"34","中国","河北","唐山","13","2","1"
"35","中国","河北","秦皇岛","13","3","1"
"36","中国","河北","邯郸","13","4","1"
"37","中国","河北","邢台","13","5","1"
"38","中国","河北","保定","13","6","1"
"39","中国","河北","张家口","13","7","1"
"40","中国","河北","承德","13","8","1"
"41","中国","河北","沧州","13","9","1"
"42","中国","河北","廊坊","13","10","1"
"43","中国","河北","衡水","13","11","1"
"44","中国","山西","太原","14","1","1"
"45","中国","山西","大同","14","2","1"
"46","中国","山西","阳泉","14","3","1"
"47","中国","山西","长治","14","4","1"
"48","中国","山西","晋城","14","5","1"
"49","中国","山西","朔州","14","6","1"
"50","中国","山西","晋中","14","7","1"
"51","中国","山西","运城","14","8","1"
"52","中国","山西","忻州","14","9","1"
"53","中国","山西","临汾","14","10","1"
"54","中国","山西","吕梁","14","11","1"
"55","中国","内蒙古","呼和浩特","15","1","1"
"56","中国","内蒙古","包头","15","2","1"
"57","中国","内蒙古","乌海","15","3","1"
"58","中国","内蒙古","赤峰","15","4","1"
"59","中国","内蒙古","通辽","15","5","1"
"60","中国","内蒙古","鄂尔多斯","15","6","1"
"61","中国","内蒙古","呼伦贝尔","15","7","1"
"62","中国","内蒙古","巴彦淖尔","15","8","1"
"63","中国","内蒙古","乌兰察布","15","9","1"
"64","中国","内蒙古","兴安","15","22","1"
"65","中国","内蒙古","锡林郭勒","15","25","1"
"66","中国","内蒙古","阿拉善","15","29","1"
"67","中国","辽宁","沈阳","21","1","1"
"68","中国","辽宁","大连","21","2","1"
"69","中国","辽宁","鞍山","21","3","1"
"70","中国","辽宁","抚顺","21","4","1"
"71","中国","辽宁","本溪","21","5","1"
"72","中国","辽宁","丹东","21","6","1"
"73","中国","辽宁","锦州","21","7","1"
"74","中国","辽宁","营口","21","8","1"
"75","中国","辽宁","阜新","21","9","1"
"76","中国","辽宁","辽阳","21","10","1"
"77","中国","辽宁","盘锦","21","11","1"
"78","中国","辽宁","铁岭","21","12","1"
"79","中国","辽宁","朝阳","21","13","1"
"80","中国","辽宁","葫芦岛","21","14","1"
"81","中国","吉林","长春","22","1","1"
"82","中国","吉林","吉林","22","2","1"
"83","中国","吉林","四平","22","3","1"
"84","中国","吉林","辽源","22","4","1"
"85","中国","吉林","通化","22","5","1"
"86","中国","吉林","白山","22","6","1"
"87","中国","吉林","松原","22","7","1"
"88","中国","吉林","白城","22","8","1"
"89","中国","吉林","延边","22","24","1"
"90","中国","黑龙江","哈尔滨","23","1","1"
"91","中国","黑龙江","齐齐哈尔","23","2","1"
"92","中国","黑龙江","鸡西","23","3","1"
"93","中国","黑龙江","鹤岗","23","4","1"
"94","中国","黑龙江","双鸭山","23","5","1"
"95","中国","黑龙江","大庆","23","6","1"
"96","中国","黑龙江","伊春","23","7","1"
"97","中国","黑龙江","佳木斯","23","8","1"
"98","中国","黑龙江","七台河","23","9","1"
"99","中国","黑龙江","牡丹江","23","10","1"
"100","中国","黑龙江","黑河","23","11","1"
"101","中国","黑龙江","绥化","23","12","1"
"102","中国","黑龙江","大兴安岭","23","27","1"
"103","中国","上海","黄浦","31","1","1"
"104","中国","上海","卢湾","31","3","1"
"105","中国","上海","徐汇","31","4","1"
"106","中国","上海","长宁","31","5","1"
