IP,PORT,匿名度,类型,位置,响应速度,最后验证时间
58.220.95.42,10174,透明,HTTP,江苏省扬州市 电信 数据中心,3秒,12/5/2020 21:31
58.249.55.222,9797,透明,HTTP,广东省广州市 联通,4秒,12/5/2020 20:31
58.249.55.222,9797,透明,HTTP,广东省广州市 联通,2秒,12/5/2020 19:31
123.55.102.203,9999,透明,HTTP,河南省鹤壁市 电信,2秒,12/5/2020 18:31
118.163.13.200,8080,透明,HTTP,中国 台湾 cht.com.tw,3秒,12/5/2020 17:31
123.163.115.134,9999,透明,HTTP,河南省鹤壁市 电信,5秒,12/5/2020 16:31
124.205.155.156,9090,透明,HTTP,中国 北京市 北京市 鹏博士,0.7秒,12/5/2020 15:31
43.243.166.222,8080,透明,HTTP,中国 香港,5秒,12/5/2020 14:31
61.163.32.88,3128,透明,HTTP,河南省信阳市 联通,0.4秒,12/5/2020 13:31
14.20.235.107,9797,透明,HTTP,中国 广东 中山 电信,6秒,12/5/2020 12:31
210.61.240.158,8080,透明,HTTP,中国 台湾 高雄市,5秒,12/5/2020 11:31
124.205.155.153,9090,透明,HTTP,中国 北京市 北京市 鹏博士,2秒,12/5/2020 10:31
60.191.11.251,3128,透明,HTTP,浙江省杭州市 电信,1.0秒,12/5/2020 9:31
124.205.155.147,9090,透明,HTTP,北京市北京市 鹏博士宽带,6秒,12/5/2020 8:31
218.93.119.163,9002,透明,HTTP,江苏省常州市 电信,4秒,12/5/2020 7:31
117.141.155.242,53281,透明,HTTP,中国 广西壮族自治区 南宁市 移动,5秒,12/5/2020 6:31
124.205.155.146,9090,透明,HTTP,中国 北京市 北京市 鹏博士,6秒,12/5/2020 5:31
183.3.218.34,8080,透明,HTTP,广东省深圳市 电信,3秒,12/5/2020 4:31
115.221.120.43,8888,透明,HTTP,中国 浙江省 温州市 电信,0.6秒,12/5/2020 3:31
183.196.170.247,9000,透明,HTTP,中国 河北省 秦皇岛市 移动,5秒,12/5/2020 2:31
124.205.155.148,9090,透明,HTTP,中国 北京市 北京市 鹏博士,5秒,12/5/2020 1:31
43.243.166.223,8080,透明,HTTP,中国 香港,5秒,12/5/2020 0:31
221.226.94.218,110,透明,HTTP,江苏省南京市 电信,1秒,12/4/2020 23:31
123.163.115.156,9999,透明,HTTP,河南省鹤壁市 电信,0.3秒,12/4/2020 22:31
114.232.110.46,8888,透明,HTTP,中国 江苏 南通 电信,0.8秒,12/4/2020 21:31
106.104.170.66,8080,透明,HTTP,中国 台湾 fetnet.net,4秒,12/4/2020 20:31
123.163.115.156,9999,透明,HTTP,河南省鹤壁市 电信,0.6秒,12/4/2020 19:31
103.249.100.152,80,透明,HTTP,越南 胡志明市,3秒,12/4/2020 18:31
58.220.95.44,10174,透明,HTTP,江苏省扬州市 电信 数据中心,0.4秒,12/4/2020 17:31
14.198.177.46,8080,透明,HTTP,中国 香港 hkbn.com.hk,3秒,12/4/2020 16:31
113.204.164.194,8080,透明,HTTP,重庆市重庆市 联通,4秒,12/4/2020 15:31
58.220.95.30,10174,透明,HTTP,江苏省扬州市 电信 数据中心,0.4秒,12/4/2020 14:31
113.204.164.194,8080,透明,HTTP,重庆市重庆市 联通,7秒,12/4/2020 13:31
124.205.155.152,9090,透明,HTTP,中国 北京 北京 鹏博士,1秒,12/4/2020 12:31
58.220.95.42,10174,透明,HTTP,江苏省扬州市 电信 数据中心,0.3秒,12/4/2020 11:31
123.57.210.164,3128,透明,HTTP,北京市北京市 阿里云,3秒,12/4/2020 10:31
14.161.10.191,8080,透明,HTTP,越南 胡志明市,5秒,12/4/2020 9:31
124.205.155.154,9090,透明,HTTP,中国 北京市 北京市 鹏博士,3秒,12/4/2020 8:31
140.123.39.220,3128,透明,HTTP,中国 台湾 嘉义县,3秒,12/4/2020 7:31
117.141.155.242,53281,透明,HTTP,中国 广西壮族自治区 南宁市 移动,7秒,12/4/2020 6:31
218.93.119.163,9002,透明,HTTP,江苏省常州市 电信,3秒,12/4/2020 5:31
124.205.155.150,9090,透明,HTTP,中国 北京市 北京市 鹏博士,5秒,12/4/2020 4:31
124.205.155.158,9090,透明,HTTP,中国 北京市 北京市 鹏博士,2秒,12/4/2020 3:31
103.45.104.83,3128,透明,HTTP,内蒙古自治区呼和浩特市 BGP多线,3秒,12/4/2020 2:31
124.205.155.154,9090,透明,HTTP,中国 北京市 北京市 鹏博士,5秒,12/4/2020 1:31
218.93.119.166,9002,透明,HTTP,江苏省常州市 电信,3秒,12/4/2020 0:31
123.55.102.203,9999,透明,HTTP,河南省鹤壁市 电信,3秒,12/3/2020 23:31
14.20.235.107,9797,透明,HTTP,中国 广东 中山 电信,3秒,12/3/2020 22:31
163.125.158.171,8888,透明,HTTP,中国 广东省 深圳市 联通,4秒,12/3/2020 21:31
123.163.115.62,9999,透明,HTTP,河南省鹤壁市 电信,0.5秒,12/3/2020 20:31
106.104.170.66,8080,透明,HTTP,中国 台湾 fetnet.net,4秒,12/3/2020 19:31
123.55.102.203,9999,透明,HTTP,河南省鹤壁市 电信,1秒,12/3/2020 18:31
14.20.235.107,9797,透明,HTTP,中国 广东 中山 电信,6秒,12/3/2020 17:31
124.205.155.154,9090,透明,HTTP,中国 北京市 北京市 鹏博士,6秒,12/3/2020 16:31
210.61.240.162,8080,透明,HTTP,中国 台湾 高雄市,6秒,12/3/2020 15:31
59.36.10.79,3128,透明,HTTP,广东省东莞市 电信,1秒,12/3/2020 14:31
106.104.170.66,8080,透明,HTTP,中国 台湾 fetnet.net,5秒,12/3/2020 13:31
58.220.95.34,10174,透明,HTTP,江苏省扬州市 电信 数据中心,0.5秒,12/3/2020 12:31
221.5.80.66,3128,透明,HTTP,广东省肇庆市 联通,5秒,12/3/2020 11:31
